Estimator,Mean Acc,SD Acc
emcee_posterior_vote,0.7469999999999999,0.02685144316419513
emcee_posterior_mean,0.734,0.0290516780926679
emcee_mean,0.734,0.02870540018881467
emcee_mode+logistic,0.726,0.025377155080899064
emcee_mean+logistic,0.725,0.05123475382979799
emcee_mode,0.724,0.029051678092667906
emcee_median+logistic,0.7170000000000001,0.023685438564654028
emcee_median,0.7140000000000001,0.04923413450036469
log,0.7609999999999999,0.03858756276314951
fpca+log,0.758,0.03155946767611901
pca+log,0.756,0.03231098884280705
flog,0.745,0.025396850198400614
rmh+log,0.745,0.018574175621006727
pls+nc,0.745,0.05536244214266564
fknn,0.743,0.03163858403911276
manual+log,0.742,0.03091924966748064
apls+nc,0.74,0.022360679774997918
pls+log,0.7399999999999999,0.03521363372331803
apls+log,0.7390000000000001,0.020223748416156703
rkvs+log,0.738,0.026381811916545837
pca+qda,0.736,0.01907878402833893
flda,0.735,0.0361247837363769
fnc,0.6609999999999999,0.0634744042902334
mdc,0.6479999999999999,0.05230678732248807
lda,0.578,0.032186953878862154
qda,0.4720000000000001,0.05473572873361605
