Estimator,Mean Acc,SD
emcee_median+logistic,0.9483870967741936,0.03592106040535499
emcee_posterior_vote,0.9387096774193548,0.04193548387096775
emcee_posterior_mean,0.935483870967742,0.032258064516129045
emcee_mode+logistic,0.9225806451612903,0.059829796745133584
emcee_median,0.8774193548387096,0.09973951505638906
emcee_mean+logistic,0.8483870967741934,0.14926110066141
emcee_mode,0.7903225806451613,0.27114049792494
emcee_mean,0.6419354838709677,0.23370962176361232
log,0.964516129032258,0.03043219720018261
fpca+log,0.964516129032258,0.03043219720018261
manual+log,0.9612903225806452,0.031606319261718446
pca+log,0.9580645161290322,0.02903225806451615
apls+nc,0.9580645161290322,0.032418953616519024
pca+qda,0.9580645161290322,0.032418953616519024
rmh+log,0.9548387096774194,0.029565004483586087
apls+log,0.9548387096774192,0.021397579292615515
pls+log,0.9516129032258064,0.0360656125403192
flda,0.9451612903225806,0.03241895361651901
fknn,0.9419354838709678,0.04029030966708645
flog,0.935483870967742,0.04997397866074087
rkvs+log,0.9225806451612903,0.05241315099765134
lda,0.8935483870967742,0.05211449813355969
pls+nc,0.8290322580645162,0.09354838709677421
fnc,0.735483870967742,0.11155881590832635
mdc,0.7000000000000001,0.08661755859417775
qda,0.5806451612903227,1.1102230246251565e-16
