Estimator,Mean Acc,SD,Main strategy
emcee+ridge,0.7566666666666666,0.054365021434333645,mode
emcee,0.7516666666666666,0.043108390521258574,posterior_mean
lda_fpca+ridge,0.7949999999999999,0.04085883557377089,
lda_pls+ridge,0.7933333333333333,0.04841946348777985,
lda_rmh+ridge,0.7933333333333332,0.043588989435406754,
pca+svm_lin,0.7883333333333333,0.044752405273658515,
lda_manual+ridge,0.7883333333333333,0.045977047413779094,
lda_pca+ridge,0.7866666666666666,0.04459696053419886,
manual_sel+svm_lin,0.7866666666666666,0.040688518719112346,
pls+logistic,0.7849999999999999,0.04681523968396049,
fpca+logistic,0.7833333333333333,0.038005847503304616,
rmh+logistic,0.7833333333333333,0.04281744192888377,
rkvs+logistic,0.7816666666666666,0.03452052529534663,
pls+svm_lin,0.7816666666666666,0.0496935050529186,
flda_fpls1_basis,0.7816666666666666,0.04310839052125856,
fpca+svm_lin,0.7816666666666665,0.04561310727801337,
rmh+svm_lin,0.7783333333333333,0.041533119314590396,
flda_apls,0.7783333333333332,0.03876567783204337,
pca+logistic,0.775,0.042328083664000975,
manual_sel+logistic,0.7733333333333333,0.04784233364802442,
fnc,0.7716666666666667,0.04890466917040405,
lda_lasso,0.7699999999999999,0.04642796092394706,
lda_pls1,0.7683333333333333,0.05795112883571237,
rkvs+svm_lin,0.7583333333333334,0.04669641908707302,
fknn,0.7566666666666666,0.03265986323710905,
flda_l2_basis,0.7433333333333334,0.06018490028422597,
mdc,0.7216666666666667,0.04716990566028304,
